CementComponent,BlastFurnaceSlag,FlyAshComponent,WaterComponent,SuperplasticizerComponent,CoarseAggregateComponent,FineAggregateComponent,AgeInDays,Strength
425.0,0.0,94.1,191.8,5.5,938.2,822.2,3,17.54
318.8,212.5,0.0,155.7,14.3,852.1,880.4,28,50.66
252.3,151.2,0.0,185.7,0.0,1134.3,703.7,3,8.37
350.0,0.0,0.0,192.0,0.0,968.0,845.0,28,27.23
160.0,250.0,0.0,168.0,12.0,1049.0,688.0,28,40.57
212.5,0.0,100.4,159.3,8.7,1007.8,903.6,14,24.4
425.0,106.3,0.0,153.5,16.5,852.1,887.1,91,57.22
166.1,0.0,163.3,176.5,4.5,1058.6,780.1,3,15.87
307.0,0.0,0.0,193.0,0.0,968.0,812.0,28,27.42
425.0,158.5,0.0,153.5,16.5,852.1,887.1,28,55.51
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,3,25.12
531.3,0.0,0.0,141.8,28.2,852.1,893.7,56,38.11
424.0,22.0,132.0,168.0,8.9,822.0,750.0,56,52.52
326.0,0.0,141.0,199.0,11.0,801.0,792.0,28,16.88
156.0,183.0,0.0,193.0,2.0,1047.0,697.0,28,24.24
362.6,0.0,0.0,164.9,11.6,944.7,755.8,91,57.22
141.3,166.4,0.0,203.5,0.0,879.6,748.5,28,29.07
236.0,157.0,0.0,192.0,0.0,972.6,749.1,28,39.16
192.0,288.0,0.0,192.0,0.0,929.8,716.1,3,9.69
122.6,203.5,0.0,203.5,0.0,958.2,800.1,90,33.94
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,3,15.36
332.5,0.0,0.0,228.0,0.0,932.0,594.0,3,13.18
236.0,157.0,0.0,192.0,0.0,972.6,749.1,3,12.55
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,3,36.3
275.0,0.0,0.0,183.0,0.0,1088.0,808.0,90,34.56
236.0,0.0,0.0,194.0,0.0,968.0,885.0,180,25.18
439.0,177.0,0.0,186.0,11.1,884.9,707.9,3,15.09
150.0,142.5,0.0,194.7,6.7,973.4,674.0,28,29.65
322.0,0.0,0.0,203.0,0.0,974.0,800.0,180,32.11
213.7,98.1,24.5,181.9,6.9,1065.8,782.6,3,14.59
325.0,0.0,0.0,184.0,0.0,1063.0,783.0,7,11.39
439.0,177.0,0.0,186.0,11.1,884.9,707.9,28,28.24
382.5,0.0,0.0,185.7,0.0,1047.8,739.3,28,37.43
333.0,0.0,0.0,192.0,0.0,931.2,842.6,28,27.22
251.4,0.0,118.3,188.5,5.8,1028.4,757.7,100,45.9
225.0,0.0,0.0,181.0,0.0,1113.0,833.0,28,39.42
500.0,0.0,0.0,203.0,0.0,1125.0,613.0,14,42.64
531.3,0.0,0.0,141.8,28.2,852.1,893.7,3,35.36
166.8,250.2,0.0,203.5,0.0,975.6,692.6,3,14.31
252.0,0.0,0.0,186.0,0.0,1111.0,784.0,3,12.55
288.0,192.0,0.0,192.0,0.0,932.0,717.8,28,39.6
333.0,0.0,0.0,192.0,0.0,931.2,842.6,90,24.1
213.5,98.1,24.5,181.7,6.7,1065.8,785.6,56,35.86
298.0,0.0,107.0,162.0,13.9,967.0,712.0,28,65.2
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,28,31.84
380.0,95.0,0.0,228.0,0.0,932.0,594.0,90,52.91
332.5,142.5,0.0,228.0,0.0,932.0,594.0,7,24.45
540.0,0.0,0.0,173.0,0.0,1120.0,611.8,3,9.85
439.0,177.0,0.0,186.0,11.6,884.9,709.0,7,21.26
349.0,0.0,0.0,192.0,0.0,1049.0,806.0,90,32.9
307.0,0.0,0.0,193.0,0.0,968.0,812.0,365,38.07
145.3,158.5,0.0,178.5,10.1,879.0,867.8,28,40.15
387.0,20.0,0.0,157.0,11.6,938.0,845.0,28,40.15
198.6,122.6,0.0,192.0,0.0,978.4,800.0,360,43.8
246.8,250.0,0.0,203.5,0.0,977.6,694.1,56,21.92
388.6,97.8,78.4,191.8,10.3,852.1,705.2,49,64.9
385.0,0.0,0.0,186.0,0.0,966.0,763.0,28,33.02
190.7,0.0,125.4,162.1,7.0,1090.0,804.0,28,33.4
249.1,0.0,98.8,158.1,12.8,987.8,889.0,14,32.92
298.2,160.5,107.0,177.6,11.1,879.6,744.2,90,51.33
401.8,94.7,0.0,147.4,11.7,946.8,746.6,56,66.42
366.0,38.0,0.0,228.0,0.0,932.0,670.0,365,41.93
259.9,100.6,78.4,170.6,10.4,935.7,762.9,28,57.92
333.0,0.0,0.0,192.0,0.0,931.2,842.6,7,15.42
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,28,37.42
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,360,38.02
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,14,44.28
166.1,0.0,0.0,203.2,0.0,975.6,692.6,28,22.93
252.5,0.0,0.0,185.7,0.0,1111.6,784.3,7,11.17
295.8,0.0,0.0,185.7,0.0,1069.2,769.3,7,21.48
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,28,26.91
288.0,0.0,0.0,192.0,0.0,932.0,717.8,7,20.97
500.0,0.0,0.0,192.0,0.0,1125.0,613.0,1,31.54
333.0,0.0,0.0,192.0,0.0,931.2,842.6,3,4.9
382.0,0.0,0.0,192.0,0.0,1047.0,758.0,90,40.93
200.0,133.0,0.0,195.0,0.0,965.4,806.2,28,19.69
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28,62.05
250.0,0.0,0.0,182.0,0.0,1100.0,820.0,7,17.37
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,28,28.68
252.3,0.0,98.8,146.3,12.8,987.8,889.0,56,62.5
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,3,33.8
277.1,0.0,97.4,160.6,11.8,973.9,875.6,14,33.61
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,90,46.68
250.0,0.0,95.7,191.8,5.3,948.9,857.2,28,31.12
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,100,50.51
288.4,121.0,0.0,177.4,7.0,907.9,829.5,28,35.57
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,180,35.87
181.9,134.7,0.0,183.8,11.6,944.7,755.8,28,61.89
295.0,0.0,0.0,185.0,0.0,1069.0,769.0,28,37.91
192.0,288.0,0.0,192.0,0.0,929.8,716.1,7,21.92
297.2,0.0,95.7,171.5,8.6,956.9,856.4,3,15.57
480.0,0.0,0.0,192.0,0.0,936.2,712.2,28,55.65
375.0,97.1,0.0,126.6,23.4,852.1,893.7,56,55.25
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,28,25.1
350.0,0.0,0.0,203.0,0.0,974.0,775.0,180,32.92
151.2,174.2,108.3,167.5,16.5,835.6,813.2,28,29.79
296.0,0.0,0.0,192.0,0.0,1085.0,765.0,90,41.68
157.0,236.0,0.0,192.0,0.0,935.4,781.2,28,41.05
310.0,0.0,0.0,192.0,0.0,970.0,850.0,7,13.46
139.6,209.4,0.0,192.0,0.0,1047.0,839.2,90,32.63
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,180,41.54
359.4,19.6,79.0,162.6,9.6,1014.3,712.2,28,47.22
252.0,0.0,0.0,186.0,0.0,1111.0,784.0,7,25.02
307.0,0.0,0.0,193.0,0.0,968.0,812.0,180,24.28
237.5,237.5,0.0,228.0,0.0,932.0,594.0,90,47.74
446.0,24.0,79.0,162.0,11.6,967.0,712.0,28,67.57
446.0,0.0,79.0,162.0,10.9,967.0,712.0,28,46.23
140.0,178.0,175.0,200.0,10.0,809.0,745.0,28,14.2
397.0,0.0,0.0,185.7,0.0,1040.6,734.3,28,32.88
376.0,0.0,0.0,214.6,0.0,1003.5,762.4,28,46.39
154.0,15.0,141.0,178.0,9.5,842.0,780.0,28,39.94
132.0,207.0,161.0,179.0,5.5,867.0,736.0,28,43.57
254.0,0.0,0.0,198.0,0.0,968.0,863.0,28,33.8
305.3,203.5,0.0,203.5,0.0,965.4,631.0,28,29.73
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,90,23.69
183.9,122.6,0.0,203.5,0.0,959.2,800.0,7,23.51
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,28,33.61
183.9,122.6,0.0,203.5,3.0,959.2,800.0,28,28.02
298.0,0.0,107.0,186.0,0.0,849.0,846.0,28,35.3
374.0,0.0,0.0,170.2,11.2,1007.3,730.4,56,72.99
339.0,0.0,0.0,197.0,0.0,968.0,781.0,3,9.87
252.0,0.0,0.0,185.0,0.0,1111.0,784.0,3,9.31
374.0,189.2,0.0,170.1,10.1,926.1,756.7,28,40.87
296.0,0.0,0.0,192.0,0.0,1085.0,765.0,90,37.68
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,14,26.2
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,7,33.96
425.0,106.3,0.0,151.4,18.6,936.0,803.7,100,44.64
273.0,116.0,86.0,194.0,6.0,914.0,680.0,28,50.24
405.0,0.0,0.0,175.0,0.0,1125.0,613.0,180,32.85
212.0,0.0,124.8,159.0,7.8,1085.4,799.5,14,22.75
362.6,189.0,0.0,164.9,11.6,944.7,755.8,91,48.85
190.0,190.0,0.0,228.0,0.0,932.0,670.0,365,24.5
446.0,24.0,79.0,162.0,11.6,967.0,712.0,3,22.9
212.0,0.0,124.8,159.0,7.8,1085.4,799.5,100,51.73
157.0,236.0,0.0,192.0,0.0,935.4,781.2,7,23.89
200.0,200.0,0.0,190.0,0.0,1145.0,660.0,28,47.71
166.1,0.0,163.3,176.5,4.5,1058.6,780.1,28,15.61
382.0,0.0,0.0,186.0,0.0,1047.0,739.0,28,43.25
382.0,0.0,0.0,186.0,0.0,1111.0,784.0,7,10.79
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,14,41.05
382.0,0.0,0.0,186.0,0.0,1038.0,758.0,28,39.3
173.5,50.1,159.9,172.3,9.5,1006.2,746.6,56,52.43
141.3,212.0,0.0,203.5,0.0,971.8,748.5,90,64.02
349.0,0.0,0.0,192.0,0.0,1047.0,806.9,28,41.1
382.0,0.0,0.0,185.0,0.0,1047.0,739.0,28,37.34
400.0,0.0,0.0,185.0,0.0,1025.0,745.0,7,23.84
322.0,22.0,0.0,178.0,8.5,822.0,750.0,90,36.84
322.0,0.0,0.0,203.0,0.0,974.0,800.0,28,41.24
375.0,0.0,0.0,186.0,0.0,1038.0,758.0,28,39.32
339.0,0.0,0.0,197.0,0.0,968.0,781.0,180,39.94
333.0,0.0,0.0,192.0,0.0,931.2,842.6,360,67.8
231.8,0.0,121.6,174.0,6.7,1056.4,778.5,100,59.3
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,28,46.39
425.0,106.3,0.0,153.5,16.5,852.1,887.1,91,56.1
237.0,237.0,0.0,228.0,0.0,932.0,594.0,28,12.25
237.5,237.5,0.0,228.0,0.0,932.0,594.0,90,39.3
380.0,95.0,0.0,228.0,0.0,932.0,594.0,3,21.75
382.5,0.0,0.0,185.7,0.0,1047.8,739.3,14,25.61
251.4,0.0,118.3,195.2,4.6,1028.4,757.7,100,58.8
184.0,86.0,190.0,195.0,5.0,860.0,734.0,28,37.36
376.0,0.0,0.0,214.6,0.0,1003.5,762.4,28,39.3
296.0,0.0,0.0,186.0,0.0,1090.0,769.0,28,34.68
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,180,52.82
190.7,0.0,125.4,162.1,7.8,1090.0,802.6,56,60.29
237.5,237.5,0.0,228.0,0.0,932.0,594.0,180,47.1
220.8,147.2,0.0,185.7,0.0,1055.0,744.3,28,50.24
135.7,0.0,0.0,185.7,0.0,1076.2,759.3,3,15.09
153.1,144.7,132.1,178.1,8.1,877.2,868.7,28,28.1
295.0,0.0,0.0,186.0,0.0,1069.0,769.0,28,27.92
238.1,0.0,94.1,181.2,7.0,949.9,847.0,28,21.86
500.0,0.0,0.0,200.0,0.0,1125.0,765.0,28,29.89
295.8,0.0,95.6,171.5,8.9,955.1,859.2,100,43.01
339.0,0.0,77.0,196.0,6.0,968.0,754.0,28,41.68
531.3,0.0,0.0,141.8,28.2,852.1,893.7,56,45.71
350.0,0.0,0.0,186.0,0.0,1075.0,775.0,7,25.46
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,28,53.52
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,7,23.52
251.8,0.0,99.9,146.3,12.8,1006.0,899.8,100,59.8
181.4,0.0,0.0,169.6,7.6,1055.6,777.8,100,69.66
424.0,22.0,132.0,178.0,8.5,882.0,750.0,7,55.6
500.0,0.0,0.0,200.0,11.0,1130.0,745.0,28,74.99
427.5,47.5,0.0,228.0,0.0,932.0,594.0,90,59.49
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,3,23.69
289.0,0.0,0.0,192.0,0.0,965.4,765.6,28,47.1
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,14,15.52
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,3,16.5
236.0,0.0,0.0,194.0,0.0,968.0,885.0,3,6.94
382.5,0.0,0.0,185.7,0.0,1047.8,739.3,365,43.7
237.5,237.5,0.0,228.0,0.0,932.0,594.0,90,38.46
212.0,144.7,0.0,203.5,0.0,973.4,875.6,3,19.42
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,7,11.47
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,39.58
236.0,0.0,0.0,193.0,0.0,968.0,885.0,365,25.89
165.0,0.0,143.6,163.8,0.0,1005.6,900.9,100,35.85
266.0,116.0,0.0,228.0,0.0,932.0,670.0,180,45.94
424.0,22.0,132.0,168.0,8.9,822.0,750.0,28,56.83
374.0,0.0,0.0,190.0,7.0,1013.0,730.0,3,25.61
198.6,132.4,0.0,192.0,0.0,838.6,824.3,90,21.29
305.3,203.5,0.0,203.5,0.0,965.4,631.0,7,24.1
339.0,0.0,158.0,196.0,10.6,949.0,784.0,28,22.93
122.6,183.9,0.0,203.5,0.0,958.2,800.0,90,26.94
310.0,0.0,0.0,192.0,0.0,970.0,850.0,90,47.71
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56,53.66
251.4,0.0,118.3,188.5,5.8,1056.4,757.7,100,30.08
305.3,203.5,0.0,203.5,0.0,965.4,695.8,3,13.18
237.5,237.5,0.0,185.7,0.0,852.1,696.7,56,63.53
339.0,0.0,0.0,188.0,6.0,1075.0,724.0,28,60.28
322.0,145.0,113.0,178.0,8.0,942.0,801.0,28,24.39
238.1,0.0,94.1,197.9,4.6,947.0,852.2,7,11.36
190.3,0.0,125.2,162.1,9.9,1059.4,804.9,28,29.79
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,28,34.68
397.0,0.0,0.0,185.7,0.0,1040.6,734.3,28,44.61
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,28,52.42
310.0,0.0,0.0,192.0,0.0,970.0,850.0,180,38.11
116.0,173.0,0.0,192.0,0.0,909.8,856.8,90,35.17
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,28,40.2
144.8,0.0,133.6,144.7,11.2,1001.8,803.7,28,35.23
212.0,0.0,121.6,159.0,5.8,1043.6,754.3,3,15.53
424.0,0.0,132.0,178.0,9.0,1000.0,822.0,28,59.3
393.0,0.0,0.0,192.0,0.0,940.0,758.0,28,39.3
333.0,145.0,184.0,200.0,8.0,1033.0,822.0,28,66.42
381.4,0.0,0.0,185.7,0.0,1104.6,784.3,90,48.85
393.0,0.0,0.0,186.0,0.0,1113.0,784.0,7,17.54
374.0,189.2,0.0,170.1,10.1,926.1,756.7,7,46.9
531.3,0.0,0.0,181.1,10.3,801.3,728.9,28,32.24
275.1,0.0,121.4,159.5,9.9,1053.6,777.5,3,17.57
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,180,40.93
173.0,116.0,0.0,192.0,0.0,946.8,856.8,90,46.23
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,28,55.45
425.0,106.3,0.0,151.4,18.6,936.0,803.7,28,41.68
151.0,0.0,184.0,167.0,16.0,1074.0,678.0,28,36.97
236.0,157.0,0.0,192.0,0.0,972.6,749.1,7,7.68
331.0,0.0,0.0,192.0,0.0,978.0,825.0,28,24.34
322.5,141.3,0.0,203.5,0.0,959.2,800.1,28,44.21
237.5,237.5,0.0,228.0,0.0,932.0,594.0,365,36.94
302.0,0.0,0.0,203.0,0.0,974.0,817.0,180,36.94
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,7,10.34
237.5,237.5,0.0,185.7,0.0,956.9,692.6,28,34.9
238.1,0.0,0.0,185.7,0.0,1118.8,789.3,28,81.75
446.0,24.0,79.0,162.0,11.6,967.0,712.0,56,52.61
296.0,0.0,0.0,186.0,0.0,1090.0,769.0,7,18.42
425.0,106.3,0.0,153.5,16.5,852.1,887.1,56,63.14
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,90,35.23
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,7,21.29
305.3,203.5,0.0,203.5,0.0,965.4,631.0,28,21.65
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,120,30.65
333.0,0.0,0.0,192.0,0.0,931.2,842.6,3,32.4
236.0,157.0,0.0,192.0,0.0,972.6,749.1,28,63.14
350.0,0.0,0.0,203.0,0.0,974.0,775.0,90,31.18
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,14,26.05
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,3,14.2
313.3,145.0,113.0,178.9,8.0,833.7,611.8,28,41.15
375.0,93.8,0.0,126.6,23.4,852.1,992.6,3,32.4
382.0,0.0,0.0,186.0,0.0,1047.0,739.0,7,21.97
192.0,288.0,0.0,192.0,0.0,929.8,716.1,90,33.4
284.0,15.0,141.0,179.0,5.5,801.0,802.0,28,37.17
157.0,236.0,0.0,192.0,0.0,935.4,785.6,7,14.4
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,180,32.33
295.0,0.0,0.0,185.0,0.0,1069.0,769.0,28,27.87
251.8,0.0,99.9,188.5,12.4,1028.4,899.8,3,13.52
194.7,0.0,100.5,170.2,7.5,998.0,847.0,56,60.29
387.0,0.0,94.1,157.9,15.6,938.2,845.0,3,42.8
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,7,36.8
397.0,0.0,0.0,185.7,0.0,1040.6,734.3,7,19.35
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,7,18.13
397.0,0.0,0.0,185.0,0.0,1040.0,734.0,7,24.28
133.0,210.0,0.0,196.0,3.0,949.0,795.0,28,26.05
133.0,200.0,0.0,192.0,0.0,965.4,827.0,28,35.3
173.0,116.0,0.0,192.0,0.0,946.8,856.8,7,21.48
192.0,288.0,0.0,192.0,0.0,929.8,716.1,90,46.68
387.0,20.0,94.0,157.0,13.9,938.0,845.0,7,20.87
250.2,0.0,0.0,187.4,5.3,956.9,839.2,7,33.8
233.8,0.0,94.6,197.9,7.8,949.9,847.0,3,9.87
222.4,0.0,96.7,189.3,6.1,967.1,870.3,28,27.34
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,28,38.46
304.0,140.0,0.0,214.0,6.0,895.0,722.0,28,37.26
397.0,0.0,0.0,185.0,0.0,1040.0,734.0,28,41.84
376.0,0.0,0.0,214.6,0.0,1003.5,762.4,3,25.42
155.0,145.0,184.0,179.0,8.0,867.0,824.0,28,24.5
102.0,153.0,0.0,192.0,0.0,887.0,942.0,28,20.87
297.0,0.0,0.0,186.0,0.0,1040.0,734.0,28,40.06
350.0,0.0,0.0,203.0,0.0,974.0,775.0,7,21.65
135.7,203.5,0.0,203.5,0.0,965.4,631.0,90,79.3
157.0,243.5,0.0,220.0,5.3,1022.0,698.0,28,24.1
288.0,192.0,0.0,192.0,0.0,932.0,717.8,28,22.35
288.4,121.0,0.0,177.4,7.0,907.9,829.5,28,37.81
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,7,9.73
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,100,48.97
254.0,0.0,0.0,198.0,0.0,968.0,863.0,28,10.54
236.0,157.0,0.0,192.0,0.0,972.6,749.1,28,55.83
393.0,0.0,0.0,192.0,0.0,940.0,758.0,28,36.35
295.7,0.0,95.6,171.5,8.1,955.1,859.2,28,41.24
322.0,0.0,0.0,184.0,1.7,971.0,774.0,28,43.39
313.3,262.2,0.0,175.8,8.6,1046.9,611.8,7,55.6
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,90,46.24
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,28,33.4
297.2,0.0,117.5,174.8,9.5,1022.8,753.5,14,35.75
424.0,178.0,137.0,168.0,20.0,936.0,651.0,28,43.73
238.0,0.0,0.0,185.0,0.0,1119.0,789.0,28,56.83
307.0,0.0,0.0,193.0,0.0,968.0,812.0,7,10.34
144.0,170.0,132.0,178.0,8.0,842.0,709.0,28,31.35
165.0,0.0,143.6,163.8,0.0,1005.6,900.9,28,61.99
522.0,0.0,0.0,146.0,0.0,896.0,896.0,28,39.7
250.0,0.0,0.0,189.0,0.0,1125.0,613.0,28,36.8
135.7,203.5,0.0,185.7,0.0,1076.2,759.3,7,8.49
349.0,0.0,0.0,192.0,0.0,1047.0,806.9,365,42.13
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,7,28.63
251.8,0.0,99.9,146.3,12.4,1006.0,899.8,7,7.84
331.0,0.0,0.0,192.0,0.0,978.0,825.0,7,10.09
139.9,148.9,116.0,175.6,5.5,867.2,824.0,28,25.72
307.0,0.0,0.0,193.0,0.0,968.0,812.0,3,33.73
331.0,0.0,0.0,192.0,0.0,978.0,825.0,7,17.24
159.8,0.0,125.2,183.8,9.9,1049.3,798.9,100,35.34
246.8,0.0,125.1,143.3,12.0,1086.8,800.9,14,30.65
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,180,51.04
339.0,0.0,0.0,197.0,0.0,968.0,781.0,3,14.94
238.0,0.0,0.0,185.0,0.0,1118.0,789.0,7,13.09
288.4,102.3,0.0,192.0,10.4,929.8,716.1,28,46.23
133.0,133.0,0.0,192.0,0.0,932.0,770.0,28,31.42
200.0,0.0,0.0,192.0,0.0,1111.0,806.0,7,11.65
156.0,243.0,0.0,180.0,8.0,1069.0,656.0,28,49.97
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,7,7.51
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,28,26.26
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,56,53.9
531.3,0.0,0.0,141.8,28.2,852.1,893.7,3,15.34
295.8,0.0,0.0,185.7,0.0,1091.4,769.3,7,15.52
387.0,20.0,94.0,157.0,13.9,947.0,852.0,28,34.4
382.5,0.0,0.0,185.7,0.0,1047.8,739.3,7,36.8
331.0,0.0,0.0,192.0,0.0,978.0,825.0,7,24.07
332.5,142.5,0.0,228.0,0.0,932.0,594.0,90,39.36
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,28,40.86
295.7,0.0,0.0,141.8,12.8,852.1,829.5,56,59.89
288.0,192.0,0.0,192.0,0.0,932.0,717.8,90,35.87
333.0,0.0,0.0,192.0,0.0,927.4,842.6,28,28.47
339.0,0.0,0.0,185.0,0.0,1069.0,769.0,7,12.18
236.0,157.0,0.0,192.0,0.0,887.0,942.0,90,17.24
246.8,0.0,125.1,143.3,12.0,1086.8,800.9,100,56.85
212.0,141.3,0.0,203.5,0.0,973.4,750.0,90,71.99
236.0,0.0,0.0,194.0,0.0,968.0,885.0,365,41.37
305.3,359.4,0.0,185.7,0.0,935.4,631.3,3,10.34
281.0,0.0,0.0,186.0,0.0,1124.0,846.0,28,46.23
313.3,145.0,0.0,178.1,8.2,1000.0,611.8,28,41.68
166.1,0.0,163.3,176.5,12.1,1058.6,780.1,14,27.66
168.9,42.1,163.3,121.8,17.9,1058.7,780.1,56,45.84
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,90,38.21
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,180,65.2
331.0,0.0,0.0,192.0,0.0,978.0,825.0,90,30.28
133.0,200.0,0.0,192.0,0.0,927.4,839.2,90,26.23
393.0,0.0,0.0,185.0,0.0,1091.0,739.0,90,56.4
349.0,0.0,0.0,192.0,0.0,1047.0,806.9,7,14.4
250.0,132.4,0.0,192.0,0.0,924.1,856.8,7,16.89
144.0,15.0,132.0,168.0,10.0,884.0,821.0,28,17.2
173.0,116.0,0.0,192.0,0.0,946.8,856.8,7,14.31
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,3,14.2
424.0,22.0,132.0,178.0,8.5,822.0,750.0,3,24.0
181.9,0.0,0.0,185.7,0.0,1012.4,714.3,7,7.4
255.0,116.0,0.0,192.0,0.0,889.8,945.0,90,50.6
200.0,133.0,0.0,192.0,0.0,965.4,806.2,90,51.86
236.0,0.0,0.0,194.0,0.0,968.0,885.0,7,19.99
222.4,0.0,24.5,162.1,11.1,967.1,870.3,14,34.2
133.0,200.0,0.0,192.0,0.0,927.4,839.2,90,54.32
362.6,189.0,0.0,164.9,11.6,936.0,744.2,28,22.84
252.0,0.0,0.0,185.0,0.0,1111.0,784.0,28,27.34
491.0,26.0,123.0,200.0,12.8,824.0,699.0,56,33.08
297.3,0.0,117.5,174.8,9.1,953.4,756.7,28,39.7
165.0,0.0,143.6,163.8,0.0,1005.6,900.9,3,12.18
322.0,0.0,0.0,203.0,0.0,974.0,800.0,270,24.39
382.0,0.0,0.0,186.0,0.0,1047.0,739.0,28,35.23
450.1,50.0,0.0,200.0,3.0,1124.4,613.2,7,7.72
155.0,0.0,143.0,193.0,12.0,1047.0,697.0,28,36.94
